Unnamed: 0,LISTA DE PREÇOS - REF: 01/23,Unnamed: 1,Unnamed: 2
Linha:,GAXETA E RASPADOR
Código,Descrição UN,Preço Unitário R$% IPI,
25004000-375,GAXETA  4 X 4.1/2 X 3/8 ,"25,206 ",
25004000-562,GAXETA  4 X 4.1/2 X 9/16 ,"37,808 ",
25004125,GAXETA  4.1/8 X 4.5/8 X 1/4 ,"20,170 ",
25004125-562,GAXETA4.1/8 X 4.5/8 X 9/16 ,"35,292 ",
25004250,GAXETA  4.1/4 X 4.3/4 X 1/4 ,"21,176 ",
25004250-375,GAXETA  4.1/4 X 4.3/4 X 3/8 ,"26,718 ",
25004250-562,GAXETA4.1/4 X 4.3/4 X 9/16 ,"40,327 ",
25004375,GAXETA  4.3/8 X 4.7/8 X 1/4 ,"21,677 ",
25004375-562,GAXETA4.3/8 X 4.7/8 X 9/16 ,"41,344 ",
25004500,GAXETA  4.1/2 X 5 X 1/4 ,"22,177 ",
25004500-375,GAXETA4.1/2 X 5 X 3/8 ,"27,723 ",
25004500-562,GAXETA  4.1/2 X 5 X 9/16 ,"42,856 ",
25004625,GAXETA  4.5/8 X 5.1/8 X 1/4 ,"22,688 ",
25004625-562,GAXETA  4.5/8 X 5.1/8 X 9/16 ,"43,353 ",
25004750,GAXETA  4.3/4 X 5.1/4 X 1/4 ,"27,474 ",
25004750-562,GAXETA  4.3/4 X 5.1/4 X 9/16 ,"45,373 ",
25004875,GAXETA 4.7/8 X 5.3/8 X 1/4 ,"29,075 ",
25004875-375,GAXETA 4.7/8 X 5.3/8 X  3/8 ,"30,248 ",
25005000,GAXETA  5 X 5 1/2 X 1/4 ,"29,233 ",
25005000-375,GAXETA  5 X 5.1/2 X 3/8 ,"32,771 ",
25005000-562,GAXETA  5 X 5.1/2 X 9/16 ,"47,890 ",
25005125,GAXETA  5.1/8 X 5.5/8 X 1/4 ,"30,248 ",
25005125-562,GAXETA 5.1/8 X 5.5/8 X 9/16 ,"48,902 ",
25005250,GAXETA  5.1/4 X 5.3/4 X 1/4 ,"30,248 ",
25005250-562,GAXETA5.1/4 X 5.3/4 X 9/16 ,"49,908 ",
25005375,GAXETA  5.3/8 X 5.7/8 X 1/4 ,"30,850 ",
25005500,GAXETA  5.1/2 X 6 X 1/4 ,"29,261 ",
25005500-562,GAXETA  5.1/2 X 6 X 9/16 ,"51,570 ",
25005625,GAXETA  5.5/8 X 6.1/8 X 1/4 ,"32,241 ",
25005750,GAXETA  5.3/4 X 6.1/4 X 1/4 ,"32,990 ",
25005750-562,GAXETA5.3/4 X 6.1/4 X 9/16 ,"55,453 ",
25005875,GAXETA  5.7/8 X 6.3/8 X 1/4 ,"39,364 ",
25006000,GAXETA  6 X 6.1/2 X 1/4 ,"50,506 ",
25006000-562,GAXETA  6 X 6.1/2 X 9/16 ,"57,974 ",
