Cod,Ref,Ø INT,ØEXT. ,H,Grupo Tipo ,Marca,NCM,cest,tributação,unidade,Preco,Alfanumérico
4843,615704355472,"110,6","118,6",12,5,APC,39269090,2083800,1,PC,"40,44",4843
4034,615704360430,"110,7","118,7","10,9",5,APC,39269090,2083800,1,PC,"30,25",4034
4035,615704685393,119,127,10,5,APC,39269090,2083800,1,PC,"28,23",4035
3732,639404724472,120,140,12,5,APC,39269090,2083800,1,PC,"91,16",3732
4001,639404724590,120,140,15,5,APC,39269090,2083800,1,PC,"95,79",4001
4039,649204724750,120,145,"19,05",5,APC,39269090,2083800,1,PC,"120,98",4039
1607,659054724885,120,150,"22,5",5,APC,39269090,2083800,1,PC,"141,15",1607
4165,639404820511,"122,42","142,44",13,5,APC,39269090,2083800,1,PC,"55,51",4165
4042,620504838500,"122,9","133,3","12,7",5,APC,39269090,2083800,1,PC,"52,93",4042
4038,639404920511,125,145,13,5,APC,39269090,2083800,1,PC,"60,50",4038
3949,649204920625,125,150,"15,9",5,APC,39269090,2083800,1,PC,"100,83",3949
4046,623605039472,128,140,12,5,APC,39269090,2083800,1,PC,"43,62",4046
3950,643305039610,128,150,"15,5",5,APC,39269090,2083800,1,PC,"90,74",3950
3252,639405118590,130,150,15,5,APC,39269090,2083800,1,PC,"60,50",3252
4040,649205315511,135,160,13,5,APC,39269090,2083800,1,PC,"90,74",4040
3328,639405472472,139,159,12,5,APC,39269090,2083800,1,PC,"60,50",3328
3805,629505512500,140,155,"12,7",5,APC,39269090,2083800,1,PC,"58,98",3805
4037,639405512472,140,160,12,5,APC,39269090,2083800,1,PC,"75,62",4037
4044,620505665500,"143,9","154,3","12,7",5,APC,39269090,2083800,1,PC,"48,40",4044
4200,639405905531,150,170,"13,5",5,APC,39269090,2083800,1,PC,"86,13",4200
5700,649205905750,150,175,19,5,APC,39269090,2083800,1,PC,"131,07",5700
3584,659005906625,150,180,"15,88",5,APC,39269090,2083800,1,PC,"120,98",3584
4480,629506102413,155,170,"10,5",5,APC,39269090,2083800,1,PC,"98,90",4480
4091,615706299500,160,168,"12,7",5,APC,39269090,2083800,1,PC,"60,50",4091
4807,631506299500,160,176,"12,7",5,APC,39269090,2083800,1,PC,"92,92",4807
4805,631506299531,160,176,"13,5",5,APC,39269090,2083800,1,PC,"95,18",4805
4806,631506299625,160,176,"15,88",5,APC,39269090,2083800,1,PC,"111,32",4806
4226,639406300591,160,180,15,5,APC,39269090,2083800,1,PC,"112,45",4226
3140,6590062991000,160,190,"25,4",5,APC,39269090,2083800,1,PC,"201,65",3140
3851,649206889590,175,200,15,5,APC,39269090,2083800,1,PC,"115,96",3851
4079,639407086472,180,200,12,5,APC,39269090,2083800,1,PC,"75,62",4079
4954,648807094500,"180,2",205,"12,7",5,APC,39269090,2083800,1,PC,"138,01",4954
3948,638207276590,"184,8","204,2",15,5,APC,39269090,2083800,1,PC,"100,83",3948
4808,625607362393,187,200,10,5,APC,39269090,2083800,1,PC,"100,35",4808
3852,639407480531,190,210,"13,5",5,APC,39269090,2083800,1,PC,"100,83",3852
4310,631507795637,"197,93","213,99","16,17",5,APC,39269090,2083800,1,PC,"136,89",4310
4311,659007874728,200,230,"18,5",5,APC,39269090,2083800,1,PC,"196,95",4311
3143,668907874787,200,235,20,5,APC,39269090,2083800,1,PC,"252,06",3143
4075,625008225562,"208,91","221,62","14,28",5,APC,39269090,2083800,1,PC,"90,74",4075
4692,639408268492,210,230,"12,5",5,APC,39269090,2083800,1,PC,"191,56",4692
4290,659008661708,220,250,18,5,APC,39269090,2083800,1,PC,"190,56",4290
4078,668909449787,240,275,20,5,APC,39269090,2083800,1,PC,"241,98",4078
4481,637509550750,"242,55","261,6","19,05",5,APC,39269090,2083800,1,PC,"181,51",4481
4287,639409843728,250,270,"18,5",5,APC,39269090,2083800,1,PC,"206,95",4287
4697,645309843531,250,273,"13,5",5,APC,39269090,2083800,1,PC,"219,53",4697
AX0159,647310767750,"273,5","297,5","19,05",5,APC,39269090,2083800,1,PC,"288,68",AX0159
4342,668911811787,300,335,20,5,APC,39269090,2083800,1,PC,"276,20",4342
4217,650012000690,"304,8","330,2","17,5",5,APC,39269090,2083800,1,PC,"253,82",4217

AG7212,AG7213,20,30,8,,,,,,,#N/A,AG7212
AG7192,AG7193,65,"80,5","6,4",,,,,,,#N/A,AG7192
5627,5627,25,33,"5,7",,,,,,,#N/A,5627
4730,4730,65,85,11,,,,,,,#N/A,4730
5881,5881,"25,4","33,33","7,94",,,,,,,#N/A,5881
3192,3192,80,90,7,,,,,,,#N/A,3192
6236,6236,30,38,6,,,,,,,#N/A,6236
AX0086,AX0087,80,92,"8,7",,,,,,,#N/A,AX0086
5619,5619,38,48,8,,,,,,,#N/A,5619
3340,3340,80,95,9,,,,,,,#N/A,3340
3017,3017,45,60,"9,5",,,,,,,#N/A,3017
3062,3062,85,93,12,,,,,,,"27,72",3062
AG7483,AG7484,48,58,8,,,,,,,#N/A,AG7483
3301,3301,87,102,9,,,,,,,#N/A,3301
6145,6145,50,63,10,,,,,,,#N/A,6145
3364,3364,90,105,9,,,,,,,#N/A,3364
AG7486,AG7487,54,67,"9,5",,,,,,,#N/A,AG7486
3365,3365,"95,25","114,3","12,7",,,,,,,#N/A,3365
AG7487,AG7488,55,68,"3,5",,,,,,,#N/A,AG7487
3189,3189,96,111,9,,,,,,,#N/A,3189
6152,6152,55,68,10,,,,,,,#N/A,6152
AG7365,AG7366,56,66,"7,3",,,,,,,#N/A,AG7365
AG7045,AG7046,63,75,"8,7",,,,,,,#N/A,AG7045
5172,5172,63,75,"9,52",,,,,,,#N/A,5172
AG7046,AG7047,63,78,"11,4",,,,,,,#N/A,AG7046
AG7485,AG7486,65,80,9,,,,,,,#N/A,AG7485
AG7191,AG7192,65,80,10,,,,,,,"32,65",AG7191
6530,6530,10,16,4,,,,,,,"5,35",6530
5618,5618,35,44,8,,,,,,,#N/A,5618
9318,9318,13,22,7,,,,,,,#N/A,9318
6171,6171,35,45,9,,,,,,,"9,58",6171
AG8288,AG8289,16,22,5,,,,,,,#N/A,AG8288
1850,1850,35,50,10,,,,,,,"16,13",1850
6172,6172,17,25,7,,,,,,,#N/A,6172
1319,1319,38,56,"12,5",,,,,,,"25,21",1319
6760,6760,18,26,"7,8",,,,,,,"5,27",6760
1833,1833,40,50,11,,,,,,,"14,11",1833
5637,5637,18,29,8,,,,,,,#N/A,5637
1320,1320,47,72,"15,5",,,,,,,"55,45",1320
5441,5441,20,27,"4,5",,,,,,,"4,54",5441
6903,6903,"76,2","101,6","19,05",,,,,,,"105,11",6903
AG7027,AG7028,22,34,7,,,,,,,#N/A,AG7027
1863,1863,109,128,"15,5",,,,,,,"50,41",1863
5729,5729,28,36,6,,,,,,,#N/A,5729
3063,3063,111,119,12,,,,,,,"40,33",3063
5642,5642,32,46,11,,,,,,,"13,61",5642
